booking_id,passenger_id,flight_row_id,booking_date,status,seat_number,passport_number,total_amount,payment_count,multiple_payment_attempts
B1000,P1591,4.0,2025-06-14 11:37:36.951,CANCELLED,3D,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,,,
B1001,P1803,11.0,2025-11-02 11:37:36.951,CANCELLED,18A,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,,,
B1002,P1083,0.0,2025-08-25 11:37:36.951,CANCELLED,30C,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,8593.08,2.0,True
B1003,P1364,14.0,2025-12-30 11:37:36.951,CONFIRMED,33A,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,,,
B1004,P1885,28.0,2025-10-02 11:37:36.951,PENDING,25C,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,12222.48,1.0,False
B1005,P1548,19.0,2025-08-31 11:37:36.951,CONFIRMED,13D,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,13378.9,1.0,False
B1006,P1341,16.0,2025-06-29 11:37:36.951,CANCELLED,17F,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,14980.37,1.0,False
B1007,P1838,12.0,2026-03-12 11:37:36.951,CONFIRMED,22E,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,,,
B1008,P1406,3.0,2025-09-07 11:37:36.951,PENDING,34F,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,,,
B1009,P1424,5.0,2025-04-28 11:37:36.951,CANCELLED,33C,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,,,
B1010,P1743,1.0,2025-11-24 11:37:36.951,CONFIRMED,15B,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,0.0,1.0,False
B1011,P1092,37.0,2025-10-25 11:37:36.951,CONFIRMED,22C,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,2115.18,1.0,False
B1012,P1847,10.0,2025-08-15 11:37:36.951,PENDING,28B,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,23702.39,4.0,True
