booking_id,passenger_id,flight_row_id,booking_date,status,seat_number,passport_number,total_amount,payment_count,multiple_payment_attempts,flight_id,airline,source,destination,departure_time,arrival_time,duration_minutes,is_overnight,is_duration_anomaly,first_name,last_name,age,gender,booking_lead_time_days
B1000,P1591,4.0,2025-06-14 11:37:36.951,CANCELLED,3D,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,,,,AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,True,False,Krishna,M***,4,M,310.4778327777778
B1001,P1803,11.0,2025-11-02 11:37:36.951,CANCELLED,18A,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,,,,6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,False,Krishna,S***,82,F,169.46464177083334
B1002,P1083,0.0,2025-08-25 11:37:36.951,CANCELLED,30C,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,8593.08,2.0,True,SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,True,False,Arjun,B***,62,F,238.5007494212963
B1003,P1364,14.0,2025-12-30 11:37:36.951,CONFIRMED,33A,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,,,,AI069,UNKNOWN,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,True,False,Aarav,G***,60,M,111.46255498842592
B1004,P1885,28.0,2025-10-02 11:37:36.951,PENDING,25C,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,12222.48,1.0,False,UK003,UNKNOWN,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,True,False,Ira,C***,33,F,200.41949940972225
B1005,P1548,19.0,2025-08-31 11:37:36.951,CONFIRMED,13D,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,13378.9,1.0,False,AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,True,False,Saanvi,N***,52,F,232.44866608796298
B1006,P1341,16.0,2025-06-29 11:37:36.951,CANCELLED,17F,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,14980.37,1.0,False,AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,True,False,Riya,D***,58,M,295.4500549884259
B1007,P1838,12.0,2026-03-12 11:37:36.951,CONFIRMED,22E,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,,,,UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,True,False,Ishaan,K***,87,M,39.463943888888885
B1008,P1406,3.0,2025-09-07 11:37:36.951,PENDING,34F,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,,,,AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,True,False,Kavya,V***,40,F,225.47922167824072
B1009,P1424,5.0,2025-04-28 11:37:36.951,CANCELLED,33C,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,,,,SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,True,False,Ananya,N***,34,M,357.4778327777778
